date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:58:42	47/47	---M-Z	200	added ('OK')	text/plain	etag:W/%2217-18877e93c10%22	https://app.sendcash.africa/robots.txt		(from )
10:58:43	126824/126824	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Jun%202023%2009:58:43%20GMT	https://app.sendcash.africa/	./demo/app.sendcash.africa/index.html	(from )
10:58:44	138268/138268	---MCZ	200	added ('OK')	text/css	etag:W/%2221c1c-18877ebb4e0%22	https://app.sendcash.africa/css/public.e80629091b2fc3be9ece12ae2b8fc955.css	./demo/app.sendcash.africa/css/public.e80629091b2fc3be9ece12ae2b8fc955.css	(from https://app.sendcash.africa/)
10:58:44	115100/115100	---MCZ	200	added ('OK')	font/otf	etag:W/%221c19c-18877e93c10%22	https://app.sendcash.africa/assets/fonts/EuclidCircularA/EuclidCircularA-Regular.otf	./demo/app.sendcash.africa/assets/fonts/EuclidCircularA/EuclidCircularA-Regular.otf	(from https://app.sendcash.africa/)
10:58:46	116776/116776	---MCZ	200	added ('OK')	font/otf	etag:W/%221c828-18877e93c10%22	https://app.sendcash.africa/assets/fonts/EuclidCircularA/EuclidCircularA-Medium.otf	./demo/app.sendcash.africa/assets/fonts/EuclidCircularA/EuclidCircularA-Medium.otf	(from https://app.sendcash.africa/)
10:58:47	118028/118028	---MCZ	200	added ('OK')	font/otf	etag:W/%221cd0c-18877e93c10%22	https://app.sendcash.africa/assets/fonts/EuclidCircularA/EuclidCircularA-Semibold.otf	./demo/app.sendcash.africa/assets/fonts/EuclidCircularA/EuclidCircularA-Semibold.otf	(from https://app.sendcash.africa/)
10:58:47	7806/7806	---M--	200	added ('OK')	image/png	etag:W/%221e7e-18877e93c10%22	https://app.sendcash.africa/favicon.png	./demo/app.sendcash.africa/favicon.png	(from https://app.sendcash.africa/)
10:58:48	546/546	---M-Z	200	added ('OK')	application/json	etag:W/%22222-18877e93c10%22	https://app.sendcash.africa/manifest.json	./demo/app.sendcash.africa/manifest.json	(from https://app.sendcash.africa/)
10:58:49	7806/7806	---M--	200	added ('OK')	image/png	etag:W/%221e7e-18877e93c10%22	https://app.sendcash.africa/assets/icons/app/192x192.png	./demo/app.sendcash.africa/assets/icons/app/192x192.png	(from https://app.sendcash.africa/)
10:58:50	422/422	---M-Z	200	added ('OK')	text/css	etag:W/%221a6-18877eec9f0%22	https://app.sendcash.africa/_next/static/css/b6c5e85a8fd6ee9a.css	./demo/app.sendcash.africa/_next/static/css/b6c5e85a8fd6ee9a.css	(from https://app.sendcash.africa/)
10:58:52	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%2216544-18877eec9f0%22	https://app.sendcash.africa/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	./demo/app.sendcash.africa/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://app.sendcash.africa/)
10:58:53	3964/3964	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f7c-18877eec9f0%22	https://app.sendcash.africa/_next/static/chunks/webpack-45c28e289a92590d.js	./demo/app.sendcash.africa/_next/static/chunks/webpack-45c28e289a92590d.js	(from https://app.sendcash.africa/)
10:58:54	130057/130057	---MCZ	200	added ('OK')	application/javascript	etag:W/%221fc09-18877eec9f0%22	https://app.sendcash.africa/_next/static/chunks/framework-560765ab0625ba27.js	./demo/app.sendcash.africa/_next/static/chunks/framework-560765ab0625ba27.js	(from https://app.sendcash.africa/)
10:58:55	123184/123184	---MCZ	200	added ('OK')	application/javascript	etag:W/%221e130-18877eec9f0%22	https://app.sendcash.africa/_next/static/chunks/main-7ff4f1ab6ad720fe.js	./demo/app.sendcash.africa/_next/static/chunks/main-7ff4f1ab6ad720fe.js	(from https://app.sendcash.africa/)
10:58:56	334354/334354	---MCZ	200	added ('OK')	application/javascript	etag:W/%2251a12-18877eec9f0%22	https://app.sendcash.africa/_next/static/chunks/pages/_app-6d80effd512243c6.js	./demo/app.sendcash.africa/_next/static/chunks/pages/_app-6d80effd512243c6.js	(from https://app.sendcash.africa/)
10:58:57	53520/53520	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d110-18877eec9f0%22	https://app.sendcash.africa/_next/static/chunks/4231-a225d7420c690348.js	./demo/app.sendcash.africa/_next/static/chunks/4231-a225d7420c690348.js	(from https://app.sendcash.africa/)
10:58:58	18654/18654	---MCZ	200	added ('OK')	application/javascript	etag:W/%2248de-18877eec9f0%22	https://app.sendcash.africa/_next/static/chunks/4431-27f4285dfaa3addb.js	./demo/app.sendcash.africa/_next/static/chunks/4431-27f4285dfaa3addb.js	(from https://app.sendcash.africa/)
10:58:59	11545/11545	---MCZ	200	added ('OK')	application/javascript	etag:W/%222d19-18877eec9f0%22	https://app.sendcash.africa/_next/static/chunks/458-24409e9fcb702c61.js	./demo/app.sendcash.africa/_next/static/chunks/458-24409e9fcb702c61.js	(from https://app.sendcash.africa/)
10:59:00	8607/8607	---MCZ	200	added ('OK')	application/javascript	etag:W/%22219f-18877eec9f0%22	https://app.sendcash.africa/_next/static/chunks/461-6cbf63147eab20b1.js	./demo/app.sendcash.africa/_next/static/chunks/461-6cbf63147eab20b1.js	(from https://app.sendcash.africa/)
10:59:01	12027/12027	---MCZ	200	added ('OK')	application/javascript	etag:W/%222efb-18877eec9f0%22	https://app.sendcash.africa/_next/static/chunks/6518-aa0d8e5d84e456b1.js	./demo/app.sendcash.africa/_next/static/chunks/6518-aa0d8e5d84e456b1.js	(from https://app.sendcash.africa/)
10:59:02	23041/23041	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a01-18877eec9f0%22	https://app.sendcash.africa/_next/static/chunks/9954-4ce802cf7e9b94de.js	./demo/app.sendcash.africa/_next/static/chunks/9954-4ce802cf7e9b94de.js	(from https://app.sendcash.africa/)
10:59:03	20009/20009	---MCZ	200	added ('OK')	application/javascript	etag:W/%224e29-18877eec9f0%22	https://app.sendcash.africa/_next/static/chunks/9122-4c1ae72544374d9c.js	./demo/app.sendcash.africa/_next/static/chunks/9122-4c1ae72544374d9c.js	(from https://app.sendcash.africa/)
10:59:04	30479/30479	---MCZ	200	added ('OK')	application/javascript	etag:W/%22770f-18877eec9f0%22	https://app.sendcash.africa/_next/static/chunks/7777-d598cc94dbb6d35b.js	./demo/app.sendcash.africa/_next/static/chunks/7777-d598cc94dbb6d35b.js	(from https://app.sendcash.africa/)
